Log: logs/run_20260218_040238_steps5000.log
Seed: 42  |  Max steps: 5000

======================================================================
NUMBER EMBEDDING REPRESENTATION — DEMO
======================================================================

Architecture:  71 raw dims → 128d embedding
  Fourier:    64 dims  |  Log-mag: 1  |  Sign: 1  |  Poly: 5

Before training:
     0.00000 → norm=11.634  [0.141, -0.347, -0.078, -0.707, -0.165...]
     1.00000 → norm=11.349  [0.512, 1.231, -0.312, -0.681, -0.628...]
     3.14159 → norm=11.405  [-1.579, -0.286, -1.160, -1.206, -1.754...]
   -42.00000 → norm=11.423  [0.618, 0.076, 0.257, 1.253, 1.519...]
   100.00000 → norm=11.441  [0.369, 0.707, -0.740, -0.139, -0.993...]
     0.00100 → norm=11.457  [0.073, -0.238, -0.572, -1.069, -0.263...]

Training (5000 steps)...
  Step    83/5000 | Loss: 8.865619
  Step   166/5000 | Loss: 17.149240
  Step   249/5000 | Loss: 59.340146
  Step   332/5000 | Loss: 72.398481
  Step   415/5000 | Loss: 73.076729
  Step   498/5000 | Loss: 73.853377
  Step   581/5000 | Loss: 74.280661
  Step   664/5000 | Loss: 74.177847
  Step   747/5000 | Loss: 74.979505
  Step   830/5000 | Loss: 74.908354
  Step   913/5000 | Loss: 75.222926
  Step   996/5000 | Loss: 74.986086
  Step  1079/5000 | Loss: 74.795462
  Step  1162/5000 | Loss: 75.128676
  Step  1245/5000 | Loss: 74.794798
  Step  1328/5000 | Loss: 75.350994
  Step  1411/5000 | Loss: 74.869986
  Step  1494/5000 | Loss: 74.766984
  Step  1577/5000 | Loss: 75.023253
  Step  1660/5000 | Loss: 74.869736
